Symbol,Date,Buy Time,Sell Time,Qty,Buy Price,Sell Price,Gross PnL,Charges,Net PnL,Exit Reason,E_Sig,E_EMA,E_ROC,E_BBW,X_Sig,X_EMA,X_ROC,X_BBW
NIFTY26JAN25000CE,2026-01-27,2026-01-27 11:30:15,2026-01-27 11:30:27,65,114.0,115.85,120.24999999999963,13.29,106.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050CE,2026-01-27,2026-01-27 11:31:00,2026-01-27 11:31:09,65,89.0,89.35,22.74999999999963,10.31,12.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 11:42:49,2026-01-27 11:43:01,65,86.2,92.7,422.5,10.34,412.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 11:43:53,2026-01-27 11:44:02,65,106.85,107.0,9.75000000000037,12.36,-2.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 11:44:27,2026-01-27 11:45:01,65,111.95,117.1,334.74999999999943,13.24,321.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 11:45:09,2026-01-27 11:45:23,65,127.7,113.65,-913.2499999999998,13.95,-927.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 11:45:57,2026-01-27 11:46:06,65,88.5,86.0,-162.5,10.09,-172.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 11:47:24,2026-01-27 11:47:40,65,83.1,79.5,-233.99999999999963,9.4,-243.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150PE,2026-01-27,2026-01-27 11:48:13,2026-01-27 11:48:35,65,66.75,69.3,165.74999999999983,7.87,157.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150PE,2026-01-27,2026-01-27 11:50:14,2026-01-27 11:50:29,65,90.0,87.3,-175.50000000000017,10.25,-185.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150PE,2026-01-27,2026-01-27 11:50:36,2026-01-27 11:50:44,65,84.6,84.85,16.25,9.8,6.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:51:18,2026-01-27 11:51:26,130,31.05,34.75,480.9999999999999,7.61,473.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:54:19,2026-01-27 11:54:38,130,34.65,32.1,-331.49999999999966,7.72,-339.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:54:57,2026-01-27 11:55:10,130,33.8,31.6,-285.99999999999943,7.56,-293.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:55:50,2026-01-27 11:56:12,130,35.5,32.5,-390.0,7.86,-397.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:57:39,2026-01-27 11:58:12,130,31.0,29.6,-181.99999999999983,7.01,-189.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 11:58:58,2026-01-27 11:59:24,130,37.1,35.0,-273.00000000000017,8.34,-281.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 11:59:39,2026-01-27 12:00:06,130,29.3,29.45,19.499999999999815,6.79,12.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:03:51,2026-01-27 12:04:08,130,45.15,41.1,-526.4999999999997,9.97,-536.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:11:57,2026-01-27 12:12:07,65,42.85,43.15,19.499999999999815,4.97,14.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:13:18,2026-01-27 12:13:28,65,44.45,45.7,81.25,5.21,76.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:41:00,2026-01-27 12:41:45,65,62.1,56.95,-334.7499999999999,6.88,-341.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:42:01,2026-01-27 12:42:29,65,59.2,60.7,97.5,6.93,90.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
